taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2498408	Lophodytes cucullatus (Linnaeus, 1758)	2498408	Lophodytes cucullatus (Linnaeus, 1758)	71	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Lophodytes	2498407	Lophodytes cucullatus	2498408	LC
9415596	Eremophila alpestris (Linnaeus, 1758)	9415596	Eremophila alpestris (Linnaeus, 1758)	286	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Alaudidae	7211	Eremophila	2490615	Eremophila alpestris	9415596	LC
2498273	Clangula hyemalis (Linnaeus, 1758)	2498273	Clangula hyemalis (Linnaeus, 1758)	306	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Clangula	2498272	Clangula hyemalis	2498273	VU
2477968	Dendrocopos major (Linnaeus, 1758)	2477968	Dendrocopos major (Linnaeus, 1758)	15879	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Dendrocopos	2477899	Dendrocopos major	2477968	LC
2480649	Gypaetus barbatus (Linnaeus, 1758)	2480649	Gypaetus barbatus (Linnaeus, 1758)	9	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Gypaetus	2480648	Gypaetus barbatus	2480649	NT
2481700	Scolopax rusticola Linnaeus, 1758	2481700	Scolopax rusticola Linnaeus, 1758	808	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Scolopax	2481693	Scolopax rusticola	2481700	LC
2484596	Regulus regulus (Linnaeus, 1758)	2484596	Regulus regulus (Linnaeus, 1758)	5647	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Regulidae	5279	Regulus	2484589	Regulus regulus	2484596	LC
2495708	Streptopelia turtur (Linnaeus, 1758)	2495708	Streptopelia turtur (Linnaeus, 1758)	470	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Columbiformes	1446	Columbidae	5233	Streptopelia	2495657	Streptopelia turtur	2495708	VU
2494154	Loxia pytyopsittacus von Borkhausen, 1793	2494154	Loxia pytyopsittacus von Borkhausen, 1793	80	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Loxia	2494150	Loxia pytyopsittacus	2494154	LC
2490274	Anthus campestris (Linnaeus, 1758)	2490274	Anthus campestris (Linnaeus, 1758)	67	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Motacillidae	5257	Anthus	2490241	Anthus campestris	2490274	LC
2498181	Netta peposaca (Vieillot, 1816)	2498181	Netta peposaca (Vieillot, 1816)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Netta	2498176	Netta peposaca	2498181	LC
9752617	Ardea alba Linnaeus, 1758	9752617	Ardea alba Linnaeus, 1758	9755	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Ardeidae	3685	Ardea	2480922	Ardea alba	9752617	LC
2479407	Myiopsitta monachus (Boddaert, 1783)	2479407	Myiopsitta monachus (Boddaert, 1783)	56	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Myiopsitta	2479406	Myiopsitta monachus	2479407	LC
2481719	Tringa stagnatilis (Bechstein, 1803)	2481719	Tringa stagnatilis (Bechstein, 1803)	72	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Tringa	2481709	Tringa stagnatilis	2481719	LC
2492606	Ficedula hypoleuca (Pallas, 1764)	2492606	Ficedula hypoleuca (Pallas, 1764)	1088	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Muscicapidae	9322	Ficedula	2492596	Ficedula hypoleuca	2492606	LC
